path,type,required,array,enum,format,description,mii_module,mii_profile,fhir_element,transform,status,notes,reference
metaData.researchConsents[].scope,object,no,yes,,,Scope of the research consent in JSON format following the MII IG Consent v2025 FHIR schema. See 'https://www.medizininformatik-initiative.de/Kerndatensatz/KDS_Consent_V2025/MII-IG-Modul-Consent.html' and 'https://packages2.fhir.org/packages/de.medizininformatikinitiative.kerndatensatz.consent'.,Consent,"MII Consent (embedded, passthrough)",(verbatim MII IG Consent v2025 FHIR resource),PASS THROUGH the embedded MII Broad-Consent FHIR object verbatim — no field-level mapping (validate round-trip),MAPPED,passthrough by design,"MII Consent (embedded, passthrough)"
metaData.submission.clinicalDataNodeId,string,yes,no,,,"Id of the clinical data node, format KDKXXXnnn 9-digit assigned by BfArM",,,,"submission/transport provenance -> Bundle/Provenance, not KDS clinical",NOMAP,,
metaData.submission.date,string,yes,no,,date,Date of submission in ISO 8601 format YYYY-MM-DD,,,,"submission/transport provenance -> Bundle/Provenance, not KDS clinical",NOMAP,,
metaData.submission.diseaseType,string,yes,no,"oncological, rare, hereditary",,"Type of disease (must be oncological or hereditary for Oncology object, rare for RareDiseasesObject)",,,,"submission/transport provenance -> Bundle/Provenance, not KDS clinical",NOMAP,,
metaData.submission.genomicDataCenterId,string,no,no,,,"Id of the genomic data center, format GRZXXXnnn 9-digit assigned by BfArM. Not required in cases where diagnosisOd.libraryType = none.",,,,"submission/transport provenance -> Bundle/Provenance, not KDS clinical",NOMAP,,
metaData.submission.submitterId,string,yes,no,,,LE ID as specified by the BfArM or RVO,,,,"submission/transport provenance -> Bundle/Provenance, not KDS clinical",NOMAP,,
metaData.submission.type,string,yes,no,"initial, followup, addition, correction, test",,"The options are: 'initial' for first submission, 'followup' is for followup submissions, 'addition' for additional submission, 'correction' for correction, 'test' is for technical testing of submissions",,,,"submission/transport provenance -> Bundle/Provenance, not KDS clinical",NOMAP,,
metaData.tanC,string,yes,no,,,Transaction number VNk,Person,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/PatientPseudonymisiert,Patient.identifier:PseudonymisierterIdentifier,tanC pseudonym; type.coding=PSEUDED (v3-ObservationValue) + assigner.identifier; KDK-stream pseudonym — never co-mingle with tanG,MAPPED,[[mii-person-fall]],PatientPseudonymisiert
molecular.complexBiomarkers[].hrdHigh,boolean,no,yes,,,High homologous recombination deficiency.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-hrd-score,Observation.valueCodeableConcept,HRD status LOINC 107286-7 (Homologous recombination deficiency status analysis); Pos/Neg per mii-pr-mtb-hrd-score answer list,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]] | NUM-OMICS: fixed wrong LOINC 94195-5 (CPT2 gene full mutation analysis) -> 107286-7 (HRD status),mii-pr-mtb-hrd-score | oBDS-to-FHIR (bzkf) | LOINC 107286-7 (verified loinc.org; was 94195-5=CPT2 gene analysis - WRONG); NUM-OMICS review (LOINC-verified 2026-07)
molecular.complexBiomarkers[].identifier,string,yes,yes,,,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-molekularer-biomarker,Observation.identifier,biomarker id,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-molekularer-biomarker | oBDS-to-FHIR (bzkf)
molecular.complexBiomarkers[].lstHigh,boolean,no,yes,,,High large-scale transitions.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-molekularer-biomarker,Observation.valueBoolean,LST: no LOINC; https://genomde.de/fhir/CodeSystem/biomarker#LST,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-molekularer-biomarker | oBDS-to-FHIR (bzkf)
molecular.complexBiomarkers[].ploidy,integer,no,yes,,,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-ploidie,Observation.valueQuantity,Ploidy valueQuantity (numeric); Observation.code fixed by mii-pr-mtb-ploidie profile - confirm code. LOINC 81303-0 was WRONG (='HGVS version [ID]'),DRAFT,"[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]] | NUM-OMICS: LOINC 81303-0 is 'HGVS version [ID]', not ploidy; use code fixed by mii-pr-mtb-ploidie (reviewer suggested NCIt C18303 - confirm)","mii-pr-mtb-ploidie | oBDS-to-FHIR (bzkf) | LOINC 81303-0 REJECTED (HGVS version, verified loinc.org); code per mii-pr-mtb-ploidie; NUM-OMICS review (LOINC-verified 2026-07)"
molecular.complexBiomarkers[].taiHigh,boolean,no,yes,,,High telomeric allelic imbalance.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-molekularer-biomarker,Observation.valueBoolean,TAI: no LOINC; https://genomde.de/fhir/CodeSystem/biomarker#TAI,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-molekularer-biomarker | oBDS-to-FHIR (bzkf)
molecular.complexBiomarkers[].tmb,number,no,yes,,,Tumor mutational burden. mut/MB,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-mutationslast,Observation.valueQuantity,TMB LOINC 94076-7; {count}/Mb,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],"mii-pr-mtb-mutationslast | oBDS-to-FHIR (bzkf) | LOINC 94076-7 CONFIRMED correct (Mutations/Megabase in Tumor, verified loinc.org); NUM-OMICS review (LOINC-verified 2026-07)"
molecular.copyNumberVariants[].chromosome,string,no,yes,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, X, Y",,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-copy-number-variant,Observation.component:chromosome-identifier.valueCodeableConcept,LOINC 48000-4 chromosome-identifier (NOT generic component:chromosome),MAPPED,[[docs/OPEN-ISSUES]] final-review,mii-pr-mtb-copy-number-variant
molecular.copyNumberVariants[].cnvType,string,yes,yes,"completeLoss, heterozygousLoss, loss, lowLevelGain, highLevelGain, gain",,Type of copy number alteration.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-copy-number-variant,Observation.component:variant-type.valueCodeableConcept,"CNV type SO:0001019; retain 6-level genomDE ordinal {completeLoss,heterozygousLoss,loss,lowLevelGain,highLevelGain,gain} (binary gain LA14033-7/loss LA14034-5 is LOSSY); or copy-number LOINC 82155-3",MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]] | NUM-OMICS: binary gain/loss loses the 6-level ordinal; retain via 82155-3 value or genomDE CNV-type CS,mii-pr-mtb-copy-number-variant | oBDS-to-FHIR (bzkf) | HL7 Genomics Reporting; LOINC 82155-3; NUM-OMICS review (LOINC-verified 2026-07)
molecular.copyNumberVariants[].endPosition,integer,no,yes,,,End position on the chromosome (HG38-Position).,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-copy-number-variant,Observation.component:exact-start-end.valueRange.high,LOINC 81254-5,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-copy-number-variant | oBDS-to-FHIR (bzkf)
molecular.copyNumberVariants[].gene.code,string,yes,yes,,,Symbol in syntax defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-copy-number-variant,Observation.component:gene-studied.valueCodeableConcept.coding.code,gene-studied 48018-6; HGNC (LOCKED),MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-copy-number-variant | oBDS-to-FHIR (bzkf)
molecular.copyNumberVariants[].gene.display,string,yes,yes,,,Representation defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-copy-number-variant,Observation.component:gene-studied.valueCodeableConcept.coding.display,gene-studied 48018-6; HGNC (LOCKED),MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-copy-number-variant | oBDS-to-FHIR (bzkf)
molecular.copyNumberVariants[].gene.system,string,no,yes,,uri,Identity of the terminology system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-copy-number-variant,Observation.component:gene-studied.valueCodeableConcept.coding.system,gene-studied 48018-6; HGNC (LOCKED),MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-copy-number-variant | oBDS-to-FHIR (bzkf)
molecular.copyNumberVariants[].gene.version,string,no,yes,,,Version of the system - if relevant,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-copy-number-variant,Observation.component:gene-studied.valueCodeableConcept.coding.version,gene-studied 48018-6; HGNC (LOCKED),MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-copy-number-variant | oBDS-to-FHIR (bzkf)
molecular.copyNumberVariants[].genomicSource,string,yes,yes,"somatic, germline",,Source of the genomic material.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-copy-number-variant,Observation.component:genomic-source-class.valueCodeableConcept,LOINC 48002-0,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-copy-number-variant | oBDS-to-FHIR (bzkf)
molecular.copyNumberVariants[].identifier,string,yes,yes,,,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-copy-number-variant,Observation.identifier,CNV id,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-copy-number-variant | oBDS-to-FHIR (bzkf)
molecular.copyNumberVariants[].localization,string,yes,yes,"coding, inRegulatoryElements, notInCodingAndNotInRegulatoryElements",,Localization of molecular alteration.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-copy-number-variant,Observation.component,localization; verify component,DRAFT,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-copy-number-variant | oBDS-to-FHIR (bzkf)
molecular.copyNumberVariants[].startPosition,integer,no,yes,,,Start position on the chromosome (HG38-Position).,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-copy-number-variant,Observation.component:exact-start-end.valueRange.low,LOINC 81254-5,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-copy-number-variant | oBDS-to-FHIR (bzkf)
molecular.expressionVariants[].expressionType,string,yes,yes,"noExpression, normalExpression, highExpression, lowExpression",,Expression level of mRNA.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-rna-seq,Observation.valueCodeableConcept,expression Observation; code per mii-pr-mtb-rna-seq profile. LOINC 82122-3 was WRONG (='Variant coding system [Identifier]'). Reviewer's 69548-6='Genetic variant assessment' also not expression - confirm expression code,DRAFT,"[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]] | NUM-OMICS: LOINC 82122-3 is 'Variant coding system', not expression; bind via mii-pr-mtb-rna-seq (69548-6 questionable)","mii-pr-mtb-rna-seq | oBDS-to-FHIR (bzkf) | LOINC 82122-3 REJECTED (variant coding system, verified loinc.org); code per mii-pr-mtb-rna-seq; NUM-OMICS review (LOINC-verified 2026-07)"
molecular.expressionVariants[].gene.code,string,yes,yes,,,Symbol in syntax defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-rna-seq,Observation.component:gene-studied.valueCodeableConcept.coding.code,gene-studied 48018-6; HGNC (LOCKED),MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-rna-seq | oBDS-to-FHIR (bzkf)
molecular.expressionVariants[].gene.display,string,yes,yes,,,Representation defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-rna-seq,Observation.component:gene-studied.valueCodeableConcept.coding.display,gene-studied 48018-6; HGNC (LOCKED),MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-rna-seq | oBDS-to-FHIR (bzkf)
molecular.expressionVariants[].gene.system,string,no,yes,,uri,Identity of the terminology system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-rna-seq,Observation.component:gene-studied.valueCodeableConcept.coding.system,gene-studied 48018-6; HGNC (LOCKED),MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-rna-seq | oBDS-to-FHIR (bzkf)
molecular.expressionVariants[].gene.version,string,no,yes,,,Version of the system - if relevant,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-rna-seq,Observation.component:gene-studied.valueCodeableConcept.coding.version,gene-studied 48018-6; HGNC (LOCKED),MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-rna-seq | oBDS-to-FHIR (bzkf)
molecular.expressionVariants[].identifier,string,yes,yes,,,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-rna-seq,Observation.identifier,expression id,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-rna-seq | oBDS-to-FHIR (bzkf)
molecular.expressionVariants[].reference,string,yes,yes,,,e.g. reference cohort of 400 patients,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-rna-seq,Observation.component,expression reference/baseline — VERIFY,DRAFT,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-rna-seq | oBDS-to-FHIR (bzkf)
molecular.sbsSignatures[].identifier,string,yes,yes,,,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-molekularer-biomarker,Observation.identifier,signature id,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-molekularer-biomarker | oBDS-to-FHIR (bzkf)
molecular.sbsSignatures[].name[],string,yes,yes,,,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-molekularer-biomarker,Observation.valueCodeableConcept,SBS mutational signature (COSMIC catalogue); code via extensible binding on mii-pr-mtb-molekularer-biomarker (no fixed LOINC). LOINC 93573-4 does NOT exist - INVALID,DRAFT,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]] | NUM-OMICS: LOINC 93573-4 does not exist; code SBS via extensible 'MII VS Molekulare Biomarker' binding,mii-pr-mtb-molekularer-biomarker | oBDS-to-FHIR (bzkf) | LOINC 93573-4 INVALID/nonexistent (verified loinc.org); extensible VS on mii-pr-mtb-molekularer-biomarker; NUM-OMICS review (LOINC-verified 2026-07)
molecular.sbsSignatures[].version,string,no,yes,,,SBS Signatures Version,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-molekularer-biomarker,Observation.method,signature catalogue version (COSMIC) — VERIFY,DRAFT,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-molekularer-biomarker | oBDS-to-FHIR (bzkf)
molecular.smallVariants[].alt,string,yes,yes,,,alt/observed sequence VCF-style.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-einfache-variante,Observation.component:genomic-alt-allele.valueString,LOINC 69551-0,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-einfache-variante | oBDS-to-FHIR (bzkf)
molecular.smallVariants[].chromosome,string,yes,yes,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, X, Y, MT",,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-einfache-variante,Observation.component:chromosome-identifier.valueCodeableConcept,LOINC 48000-4 chromosome-identifier (NOT generic component:chromosome),MAPPED,[[docs/OPEN-ISSUES]] final-review,mii-pr-mtb-einfache-variante
molecular.smallVariants[].dnaChange,string,yes,yes,,,DNA level alteration (HGVSc).,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-einfache-variante,Observation.component:dna-change.valueCodeableConcept,cHGVS; LOINC 48004-6; HGVS system,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-einfache-variante | oBDS-to-FHIR (bzkf)
molecular.smallVariants[].endPosition,integer,yes,yes,,,End coordinate in GRCh38 VCF-style.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-einfache-variante,Observation.component:exact-start-end.valueRange.high,LOINC 81254-5 Range,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-einfache-variante | oBDS-to-FHIR (bzkf)
molecular.smallVariants[].gene.code,string,yes,yes,,,Symbol in syntax defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-einfache-variante,Observation.component:gene-studied.valueCodeableConcept.coding.code,"gene-studied LOINC 48018-6; HGNC http://www.genenames.org (LOCKED, no /geneId)",MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-einfache-variante | oBDS-to-FHIR (bzkf)
molecular.smallVariants[].gene.display,string,yes,yes,,,Representation defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-einfache-variante,Observation.component:gene-studied.valueCodeableConcept.coding.display,"gene-studied LOINC 48018-6; HGNC http://www.genenames.org (LOCKED, no /geneId)",MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-einfache-variante | oBDS-to-FHIR (bzkf)
molecular.smallVariants[].gene.system,string,no,yes,,uri,Identity of the terminology system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-einfache-variante,Observation.component:gene-studied.valueCodeableConcept.coding.system,"gene-studied LOINC 48018-6; HGNC http://www.genenames.org (LOCKED, no /geneId)",MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-einfache-variante | oBDS-to-FHIR (bzkf)
molecular.smallVariants[].gene.version,string,no,yes,,,Version of the system - if relevant,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-einfache-variante,Observation.component:gene-studied.valueCodeableConcept.coding.version,"gene-studied LOINC 48018-6; HGNC http://www.genenames.org (LOCKED, no /geneId)",MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-einfache-variante | oBDS-to-FHIR (bzkf)
molecular.smallVariants[].genomicSource,string,yes,yes,"somatic, germline",,Source of the genomic material.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-einfache-variante,Observation.component:genomic-source-class.valueCodeableConcept,LOINC 48002-0; Somatic LA6684-0 / Germline LA6683-2,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-einfache-variante | oBDS-to-FHIR (bzkf)
molecular.smallVariants[].identifier,string,yes,yes,,,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-einfache-variante,Observation.identifier,variant id,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-einfache-variante | oBDS-to-FHIR (bzkf)
molecular.smallVariants[].localization,string,yes,yes,"coding, inRegulatoryElements, notInCodingAndNotInRegulatoryElements",,Localization of molecular alteration.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-einfache-variante,Observation.component:transcript-ref-seq.valueCodeableConcept,variant localization (transcript/region); verify component,DRAFT,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-einfache-variante | oBDS-to-FHIR (bzkf)
molecular.smallVariants[].loh,boolean,no,yes,,,Loss of heterozygosity.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-einfache-variante,Observation.component,loss-of-heterozygosity: no standard genomics-reporting component; candidate genomde CS — DECIDE,DRAFT,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-einfache-variante | oBDS-to-FHIR (bzkf)
molecular.smallVariants[].proteinChange,string,no,yes,,,Protein level alteration (HGVSp).,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-einfache-variante,Observation.component:amino-acid-change.valueCodeableConcept,pHGVS LOINC 48005-3,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-einfache-variante | oBDS-to-FHIR (bzkf)
molecular.smallVariants[].ref,string,yes,yes,,,ref sequence VCF-style.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-einfache-variante,Observation.component:genomic-ref-allele.valueString,LOINC 69547-8,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-einfache-variante | oBDS-to-FHIR (bzkf)
molecular.smallVariants[].startPosition,integer,yes,yes,,,Start coordinate in GRCh38 VCF-style.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-einfache-variante,Observation.component:exact-start-end.valueRange.low,LOINC 81254-5 Range,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-einfache-variante | oBDS-to-FHIR (bzkf)
molecular.smallVariants[].transcriptId.code,string,yes,yes,,,Symbol in syntax defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-einfache-variante,Observation.component:transcript-ref-seq.valueCodeableConcept.coding.code,transcript-ref-seq LOINC 51958-7; NM_ system http://www.ncbi.nlm.nih.gov/refseq,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-einfache-variante | oBDS-to-FHIR (bzkf)
molecular.smallVariants[].transcriptId.display,string,no,yes,,,Representation defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-einfache-variante,Observation.component:transcript-ref-seq.valueCodeableConcept.coding.display,transcript-ref-seq LOINC 51958-7; NM_ system http://www.ncbi.nlm.nih.gov/refseq,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-einfache-variante | oBDS-to-FHIR (bzkf)
molecular.smallVariants[].transcriptId.system,string,yes,yes,,uri,Identity of the terminology system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-einfache-variante,Observation.component:transcript-ref-seq.valueCodeableConcept.coding.system,transcript-ref-seq LOINC 51958-7; NM_ system http://www.ncbi.nlm.nih.gov/refseq,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-einfache-variante | oBDS-to-FHIR (bzkf)
molecular.smallVariants[].transcriptId.version,string,no,yes,,,Version of the system - if relevant,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-einfache-variante,Observation.component:transcript-ref-seq.valueCodeableConcept.coding.version,transcript-ref-seq LOINC 51958-7; NM_ system http://www.ncbi.nlm.nih.gov/refseq,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-einfache-variante | oBDS-to-FHIR (bzkf)
molecular.smallVariants[].variantTypes[].code,string,yes,yes,,,Symbol in syntax defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-einfache-variante,Observation.component:variant-type.valueCodeableConcept.coding.code,SO molecular consequence; system http://www.sequenceontology.org,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-einfache-variante | oBDS-to-FHIR (bzkf)
molecular.smallVariants[].variantTypes[].display,string,no,yes,,,Representation defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-einfache-variante,Observation.component:variant-type.valueCodeableConcept.coding.display,SO molecular consequence; system http://www.sequenceontology.org,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-einfache-variante | oBDS-to-FHIR (bzkf)
molecular.smallVariants[].variantTypes[].system,string,yes,yes,,uri,Identity of the terminology system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-einfache-variante,Observation.component:variant-type.valueCodeableConcept.coding.system,SO molecular consequence; system http://www.sequenceontology.org,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-einfache-variante | oBDS-to-FHIR (bzkf)
molecular.smallVariants[].variantTypes[].version,string,yes,yes,,,Version of the system - if relevant,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-einfache-variante,Observation.component:variant-type.valueCodeableConcept.coding.version,SO molecular consequence; system http://www.sequenceontology.org,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-einfache-variante | oBDS-to-FHIR (bzkf)
molecular.structuralVariants[].description,string,no,yes,,,Description of the structural variant (HGVS/ISCN).,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-dna-fusion,Observation.component:cytogenomic-nomenclature.valueCodeableConcept,MTB DNA/RNA fusion (mii-pr-mtb-rna-fusion if sequenceType=RNA); SO variant-type,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-dna-fusion | oBDS-to-FHIR (bzkf)
